id,first_name,last_name,nationality,gender,date_of_birth
929,Enrico,Fabris,ITA,M,1981-10-05
936,Nao,Kodaira,JPN,F,1986-05-26
941,Trevor,Marsicano,USA,M,1989-04-05
942,Elina,Risku,FIN,F,1992-03-07
947,Ryohei,Haga,JPN,M,1988-09-17
955,Nicole,Garrido,CAN,F,1988-12-29
958,Evgeniia,Lalenkova,RUS,F,1990-09-08
959,Pekka,Koskela,FIN,M,1982-11-29
969,Lucas,Makowsky,CAN,M,1987-05-30
976,Roland,Cieslak,POL,M,1988-01-21
977,Annette,Gerritsen,NED,F,1985-10-11
988,Mari,Hemmer,NOR,F,1983-10-20
990,Alexis,Contin,FRA,M,1986-10-19
991,Moritz,Geisreiter,GER,M,1987-12-30
